content_id,summary
542770,"A fully-stacked library is a bookworm's dream - a Lahore-based author Awais Khan shared a picture of his endless book collection on Twitter.Awais' bookshelf runs from one end of the wall to another and has over 4,000 books - some did not even fit in the picture shared by him on the microblogging website.Presently reading the New map by Daniel yergin and Lords of desert by James Barr on tussle between britain, France, US in middle east,' wrote a third user."
542769,"Two years ago, Tom Nichols, a professor and author from the US had reportedly termed Indian food ""terrible. ""Some, including former United States attorney Preet Bharara offered to take him to an Indian restaurant also.The author tried a lot of Indian food including mutton, fried ricotta, spicy shrimp, lamb chops, butter chicken, and biryani."
542765,"Once upon a time, a man from Cherthala in Kerala realised that donating his rare O-ve blood can make a huge difference to someone’s life.Meet PJ Paul who has saved 79 lives from different parts of the state by donating blood, The New Indian Express reports.Paul reconciled with his family and started looking for better jobs, landing one in KSEB after a brief stint as a KSRTC driver."
542764,"The highly infectious and deadly delta variant of coronavirus first detected in India has been spreading across the globe and is said to be on track to become the dominant strain in many countries.Meanwhile, a study published in The Lancet journal has said that Pfizer and AstraZeneca vaccines provide good protection against the delta strain.Researchers at Public Health Scotland and the University of Edinburgh, UK, found that the Pfizer-BioNTech vaccine offered better protection against the Delta variant compared to the Oxford-AstraZeneca preventive, known as Covishield in India."
542762,"After staying in jail for 11 days the actor finally got the bail and his co-star Divya Khosla Kumar is extending support to him.Television actor Pearl V Puri who was arrested on June 4 in the alleged rape case of a minor has now been granted bail.Kangana Ranaut Appeals To Bombay High Court After Authority Objects To Renewal Of Her PassportAs per reports in TOI, the Regional Passport Office raised objections to her renewal and seeks an order from the court when she disclosed the FIR against her by Munawar Ali over alleged inflammatory social media posts."
542761,"In many parts of Victoria, blankets of spiderwebs have inundated vast areas after flash floods swept through the region.Recently, the state suffered through heavy storms which triggered floods and forced families to leave their homes.Despite looking like a horror movie, experts say that spiders on the ground can actually do some good to flood-hit areas as they munch on mosquitoes and insects that cause other diseases."
542760,"Television actor Pearl V Puri who was arrested on June 4 in the alleged rape case of a minor has now been granted bail.After staying in jail for 11 days the actor finally got the bail and his co-star Divya Khosla Kumar is extending support to him.Apart from Divya, Pearl’s co-stars and almost every actor in the television industry including Ekta Kapoor supported him and claimed that he is not a person who can force himself on anyone and he is been falsely charged."
542759,"Actor and self-proclaimed movie critic, Kamaal R Khan (KRK) has requested Mumbai Police to file an FIR against Bollywood singer Mika Singh.Mika Singh and KRK / Indiatimes“Respected @MumbaiPolice @CPMumbaiPolice Please note @mikaSingh has morphed my pics and released a full video a few days ago.While Mika Singh is yet to react to this brand new accusation put forward by KRK, it can be taken for granted that it won't go down too well with the singer."
542758,"A case like that happened in Pakistan to an artist by the name of Abuzar Madhu who was looking for a rickshaw at 3am when he was arrested by Lahore Police earlier this month.In the Twitter thread, it was mentioned that Abuzar was waiting for a rickshaw near Kalma Chawk when a police van stopped him.Natasha, in her tweets seemed furious and asked why the police misused their power and harassed and bullied a teacher, an artist, a law-abiding citizen for no apparent reason?Many others also supported Abuzar and questioned this incident."
542757,"While the number of fresh COVID cases going down and the national capital is easing restrictions, the AIIMS Delhi in a statement on Tuesday said that it will resume OPD services from June 18 in a phased manner.The OPD services were stopped at the medical institute due to the increasing outbreak of coronavirus in the national capital.""AFP/Representational imageDisease experts have cautioned that a race towards resuming business as usual would compromise vaccination efforts as only about 5% of all 950 million eligible adults have been inoculated."
542756,"In a bizarre incident, a man in the US' Baltimore, who said he had a heart attack, allegedly stole an ambulance to drive himself to the hospital.Last month, a man in US' Tennessee stole an ambulance from a hospital, crashed into a police vehicle, and then drove into the woods before he was caught.Renny McMahon had stolen an ambulance from Vanderbilt University Medical Center in Nashville shortly after he reportedly created a disturbance."
542755,"Fadette Badie d’Arcis is a French professor at St Theresa's College, Ernakulam.She regularly cooks food for them and after COVID happened, was inspired to stay back.Fadette left France 16 years back to teach the language in several countries."
542754,"After Manoj Bajpayee's Srikant and Samantha Akkineni's Raji, if any character that has been able to garner a dedicated fan base and immense love is Uday Mahesh's Chellam sir.He has worked with the who’s who of Bollywood and the southern film industries, but even then he is surprised by the response he is getting for playing Chellam sir in The Family Man 2.He adds, “They were very particular about this character’s behavior like changing phones and sim cards."
542752,"Read more2) 1 Lakh COVID Tests During Kumbh Mela Fake And Addresses, Names Fictional: ReportJust days after a preliminary probe by the Uttarakhand health department suggested that many of the four lakh Covid test results issued during the Kumbh festival in Haridwar were fake, a detailed investigation — running into 1,600 pages and accessed by TOI — has found that at least 1 lakh test reports were forged by a private agency.Read more4) To Keep Yamuna Clean, Delhi Govt Bans Soaps, Detergents Not Conforming To BIS StandardsToxic foams seen floating in river Yamuna have become a not so rare occurrence in Delhi and one of the reasons blamed for it is the discharge of chemicals from soaps and detergents to the water from households.Read more5) Delhi Riots Case: Natasha Narwal, Two Others Granted Bail; What The Court SaidJNU students Natasha Narwal and Devangana Kalita and Jamia Millia Islamia student Asif Iqbal Tanha, who were arrested under the Unlawful Activities (Prevention) Act in connection with a case related to the Delhi riots in February last year have been granted bail by the Delhi High Court."
542749,"The tough restrictions imposed to curb the spread of COVID-19 have not spared anyone, but the travel and tourism sector which entirely depends on people being able to move around has been among the worst hit.All popular holiday destinations in Kerala may soon be declared as complete ""vaccinated zones"" as the state government is mulling to provide the COVID-19 jab to everyone in the tourism sector.""We are mulling to make famous tourist destinations in the state 100 per cent vaccinated zones by July 15 with the support of the health department,"" Tourism minister P A Mohammed Riyas said."
542747,"This was first discovered by Apple products YouTuber iPhonedo who noticed a slight slant when his new iMac was shipped to him.Also Read: 'Apple Is Defending Bent 2018 iPads Saying They're Made That Way And It's Getting Out Of HandHow can we forget the ‘Bendgate’ for the infamous iPhone 6 Plus where the users complained the device would bend a lot easier, especially when in the back pocket, along with a series of hardware issues that eclipsed the discontinued smartphone.Moreover, even the iPad Pro suffered from structural integrity issues where it was prone to bending with the placement of the magnetic wireless charger port for the Apple Pencil."
542746,"okay, it shows him filming himself connecting the Tesla to his PlayStation controller and then advancing it down his driveway slowly at the same time as he presses down the R2 trigger.The most pressing question of them all: Why would someone want to do it in the first place?Either way, the video has generated a serious debate with people finding it really hard to believe.Many users who commented on the video believe that someone just sat in the car, and raised the point that he says 'go' before pressing the controller button."
542745,"Thousands of tourists visit J&K to check out the beautiful cherry trees and try the sweetness of this homegrown fruit.But here's the good news, following the relaxation in Covid restrictions, cherry growers in Jammu and Kashmir have started harvesting the fruit in full swing once again.""Besides Tangmarg and Lar, cherry is also grown in some parts of Srinagar, Baramulla and Shopian districts in south Kashmir."
542744,"""However, several followers of the actress completely ignored the benefits and her intention of taking a mud bath and started to troll her.Reacting to Urvashi’s post, one Instagram user commented, “Naayak female version,” while another wrote, “Ye toh apne CM Shivajirao hai.Titled ""No pain, no gain,"" Urvashi can be seen being punched at her abs as part of her training."
